Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitePartOne,,,,2019-08-03 18:17:51,2019-08-03 18:17:59,8.074s,INCOMPLETE
,,,,,,,
Test Cases/SoapTestCase,,,,2019-08-03 18:17:52,2019-08-03 18:17:59,7.329s,PASSED
"response = sendRequest(findTestObject(""PartOne/1-Request - Add""))",,,,2019-08-03 18:17:52,2019-08-03 18:17:56,3.920s,PASSED
"println(verifyElementPropertyValue(response, ""AddResponse.AddResult"", ""320""))",,,,2019-08-03 18:17:56,2019-08-03 18:17:57,0.451s,PASSED
"responseTwo = sendRequest(findTestObject(""PartOne/2-Request-Divide""))",,,,2019-08-03 18:17:57,2019-08-03 18:17:57,0.530s,PASSED
"println(verifyElementPropertyValue(responseTwo, ""DivideResponse.DivideResult"", ""10""))",,,,2019-08-03 18:17:57,2019-08-03 18:17:57,0.109s,PASSED
"responseThree = sendRequest(findTestObject(""PartOne/3-Request-multiply""))",,,,2019-08-03 18:17:57,2019-08-03 18:17:58,0.543s,PASSED
"println(verifyElementPropertyValue(responseThree, ""MultiplyResponse.MultiplyResult"", ""10""))",,,,2019-08-03 18:17:58,2019-08-03 18:17:58,0.064s,PASSED
"responseFour = sendRequest(findTestObject(""PartOne/3-Request-Substract""))",,,,2019-08-03 18:17:58,2019-08-03 18:17:59,0.817s,PASSED
"verifyElementPropertyValue(responseFour, ""SubtractResponse.SubtractResult"", ""10"")",,,,2019-08-03 18:17:59,2019-08-03 18:17:59,0.066s,PASSED
"println(verifyElementText(responseFour, ""SubtractResponse.SubtractResult"", ""10""))",,,,2019-08-03 18:17:59,2019-08-03 18:17:59,0.095s,PASSED
